"RdRp_ID","taxonomy","bitscore","Contig","Class"
"T1-R-H2O-P-A_NODE_6786_length_1018_cov_2.888068_1","Ourlivirales",326.2,"T1-R-H2O-P-A_NODE_6786_length_1018_cov_2.888068","Miaviricetes"
"T1-R-H2O-P-A_NODE_72_length_3386_cov_151.632278_2","Levivirales",422.8,"T1-R-H2O-P-A_NODE_72_length_3386_cov_151.632278","Leviviricetes"
"T1-R-H2O-P-A_NODE_7343_length_995_cov_3.166667_1","Cryppavirales",314.5,"T1-R-H2O-P-A_NODE_7343_length_995_cov_3.166667","Howeltoviricetes"
"T1-R-H2O-P-A_NODE_7538_length_988_cov_2.886587_1","Levivirales",228,"T1-R-H2O-P-A_NODE_7538_length_988_cov_2.886587","Leviviricetes"
"T1-R-H2O-P-A_NODE_77_length_3317_cov_13.763093_1","Cryppavirales",504,"T1-R-H2O-P-A_NODE_77_length_3317_cov_13.763093","Howeltoviricetes"
"T1-R-H2O-P-A_NODE_819_length_1827_cov_22.169704_1","Cryppavirales",75.9,"T1-R-H2O-P-A_NODE_819_length_1827_cov_22.169704","Howeltoviricetes"
"T1-R-H2O-P-A_NODE_881_length_1795_cov_4.142691_1","Levivirales",453.3,"T1-R-H2O-P-A_NODE_881_length_1795_cov_4.142691","Leviviricetes"
"T1-R-H2O-P-A_NODE_936_length_1763_cov_8.320331_1","Cryppavirales",328.4,"T1-R-H2O-P-A_NODE_936_length_1763_cov_8.320331","Howeltoviricetes"
"T1-R-H2O-P-A_NODE_94_length_3144_cov_146.282460_1","Cryppavirales",144.2,"T1-R-H2O-P-A_NODE_94_length_3144_cov_146.282460","Howeltoviricetes"
"T1-R-H2O-P-A_NODE_971_length_1743_cov_12.303230_1","Kitrinoviricota",144.9,"T1-R-H2O-P-A_NODE_971_length_1743_cov_12.303230","Kitrinoviricota"
"T1-R-H2O-P-B_NODE_10141_length_892_cov_3.526188_1","Cryppavirales",347.8,"T1-R-H2O-P-B_NODE_10141_length_892_cov_3.526188","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_10287_length_889_cov_3.007335_1","Cryppavirales",75.1,"T1-R-H2O-P-B_NODE_10287_length_889_cov_3.007335","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_1028_length_1661_cov_5.342138_1","Durnavirales",250.8,"T1-R-H2O-P-B_NODE_1028_length_1661_cov_5.342138","Duplopiviricetes"
"T1-R-H2O-P-B_NODE_1037_length_1656_cov_7.068139_1","Cryppavirales",430.6,"T1-R-H2O-P-B_NODE_1037_length_1656_cov_7.068139","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_10455_length_885_cov_1.636364_1","Levivirales",251.5,"T1-R-H2O-P-B_NODE_10455_length_885_cov_1.636364","Leviviricetes"
"T1-R-H2O-P-B_NODE_10581_length_882_cov_3.061652_1","Levivirales",216.3,"T1-R-H2O-P-B_NODE_10581_length_882_cov_3.061652","Leviviricetes"
"T1-R-H2O-P-B_NODE_11819_length_855_cov_1.945153_1","Levivirales",226,"T1-R-H2O-P-B_NODE_11819_length_855_cov_1.945153","Leviviricetes"
"T1-R-H2O-P-B_NODE_1227_length_1589_cov_10.227931_1","Cryppavirales",224.7,"T1-R-H2O-P-B_NODE_1227_length_1589_cov_10.227931","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_1252_length_1580_cov_82.067594_1","Cryppavirales",375.8,"T1-R-H2O-P-B_NODE_1252_length_1580_cov_82.067594","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_125_length_2791_cov_12.738235_1","Cryppavirales",491.6,"T1-R-H2O-P-B_NODE_125_length_2791_cov_12.738235","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_1273_length_1575_cov_9.045213_1","Levivirales",417.2,"T1-R-H2O-P-B_NODE_1273_length_1575_cov_9.045213","Leviviricetes"
"T1-R-H2O-P-B_NODE_12843_length_836_cov_1.627451_1","Kitrinoviricota",84.8,"T1-R-H2O-P-B_NODE_12843_length_836_cov_1.627451","Kitrinoviricota"
"T1-R-H2O-P-B_NODE_12_length_4654_cov_54.704779_4","Levivirales",445.9,"T1-R-H2O-P-B_NODE_12_length_4654_cov_54.704779","Leviviricetes"
"T1-R-H2O-P-B_NODE_13206_length_829_cov_4.587071_1","Levivirales",139.5,"T1-R-H2O-P-B_NODE_13206_length_829_cov_4.587071","Leviviricetes"
"T1-R-H2O-P-B_NODE_138_length_2722_cov_7.127122_1","Cryppavirales",186.4,"T1-R-H2O-P-B_NODE_138_length_2722_cov_7.127122","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_14677_length_806_cov_2.489796_1","Tolivirales",206.1,"T1-R-H2O-P-B_NODE_14677_length_806_cov_2.489796","Tolucaviricetes"
"T1-R-H2O-P-B_NODE_150_length_2690_cov_19.579229_1","Cryppavirales",465.8,"T1-R-H2O-P-B_NODE_150_length_2690_cov_19.579229","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_156_length_2666_cov_7.393449_1","Levivirales",438.1,"T1-R-H2O-P-B_NODE_156_length_2666_cov_7.393449","Leviviricetes"
"T1-R-H2O-P-B_NODE_160_length_2656_cov_16.377563_1","Cryppavirales",487,"T1-R-H2O-P-B_NODE_160_length_2656_cov_16.377563","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_1635_length_1468_cov_4.291339_1","Cryppavirales",330.7,"T1-R-H2O-P-B_NODE_1635_length_1468_cov_4.291339","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_174_length_2583_cov_119.234475_1","Cryppavirales",516.3,"T1-R-H2O-P-B_NODE_174_length_2583_cov_119.234475","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_17628_length_767_cov_2.179598_1","Ourlivirales",254.4,"T1-R-H2O-P-B_NODE_17628_length_767_cov_2.179598","Miaviricetes"
"T1-R-H2O-P-B_NODE_18147_length_761_cov_1.695652_1","Cryppavirales",200.3,"T1-R-H2O-P-B_NODE_18147_length_761_cov_1.695652","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_1924_length_1408_cov_2.195213_1","Cryppavirales",241,"T1-R-H2O-P-B_NODE_1924_length_1408_cov_2.195213","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_19686_length_743_cov_6.663690_1","Cryppavirales",295.7,"T1-R-H2O-P-B_NODE_19686_length_743_cov_6.663690","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_19740_length_743_cov_1.864583_1","Cryppavirales",263.4,"T1-R-H2O-P-B_NODE_19740_length_743_cov_1.864583","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_19_length_4386_cov_22.623175_1","Cryppavirales",468.5,"T1-R-H2O-P-B_NODE_19_length_4386_cov_22.623175","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_20014_length_740_cov_2.070254_1","Levivirales",122.1,"T1-R-H2O-P-B_NODE_20014_length_740_cov_2.070254","Leviviricetes"
"T1-R-H2O-P-B_NODE_2023_length_1388_cov_3.182232_1","Ourlivirales",385.5,"T1-R-H2O-P-B_NODE_2023_length_1388_cov_3.182232","Miaviricetes"
"T1-R-H2O-P-B_NODE_206_length_2465_cov_6.881370_1","Cryppavirales",461,"T1-R-H2O-P-B_NODE_206_length_2465_cov_6.881370","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_20789_length_732_cov_3.481089_1","Levivirales",135,"T1-R-H2O-P-B_NODE_20789_length_732_cov_3.481089","Leviviricetes"
"T1-R-H2O-P-B_NODE_2088_length_1377_cov_10.372129_1","Kitrinoviricota",72.3,"T1-R-H2O-P-B_NODE_2088_length_1377_cov_10.372129","Kitrinoviricota"
"T1-R-H2O-P-B_NODE_20_length_4377_cov_18.445425_1","Cryppavirales",386.6,"T1-R-H2O-P-B_NODE_20_length_4377_cov_18.445425","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_22825_length_715_cov_1.697205_1","Levivirales",250.3,"T1-R-H2O-P-B_NODE_22825_length_715_cov_1.697205","Leviviricetes"
"T1-R-H2O-P-B_NODE_23256_length_711_cov_3.978125_1","Tolivirales",135.3,"T1-R-H2O-P-B_NODE_23256_length_711_cov_3.978125","Tolucaviricetes"
"T1-R-H2O-P-B_NODE_23699_length_708_cov_1.301413_1","Levivirales",227.6,"T1-R-H2O-P-B_NODE_23699_length_708_cov_1.301413","Leviviricetes"
"T1-R-H2O-P-B_NODE_2440_length_1319_cov_8.073718_1","Levivirales",293.1,"T1-R-H2O-P-B_NODE_2440_length_1319_cov_8.073718","Leviviricetes"
"T1-R-H2O-P-B_NODE_24_length_4117_cov_141.831686_3","Levivirales",415.3,"T1-R-H2O-P-B_NODE_24_length_4117_cov_141.831686","Leviviricetes"
"T1-R-H2O-P-B_NODE_25757_length_692_cov_2.605475_1","Levivirales",184.4,"T1-R-H2O-P-B_NODE_25757_length_692_cov_2.605475","Leviviricetes"
"T1-R-H2O-P-B_NODE_25_length_4078_cov_237.654105_1","Levivirales",344.5,"T1-R-H2O-P-B_NODE_25_length_4078_cov_237.654105","Leviviricetes"
"T1-R-H2O-P-B_NODE_26258_length_688_cov_4.526742_1","Tolivirales",181,"T1-R-H2O-P-B_NODE_26258_length_688_cov_4.526742","Tolucaviricetes"
"T1-R-H2O-P-B_NODE_26445_length_687_cov_3.116883_1","Durnavirales",85.4,"T1-R-H2O-P-B_NODE_26445_length_687_cov_3.116883","Duplopiviricetes"
"T1-R-H2O-P-B_NODE_275_length_2295_cov_2.816996_3","Levivirales",184.5,"T1-R-H2O-P-B_NODE_275_length_2295_cov_2.816996","Leviviricetes"
"T1-R-H2O-P-B_NODE_28382_length_674_cov_3.401327_1","Levivirales",232.6,"T1-R-H2O-P-B_NODE_28382_length_674_cov_3.401327","Leviviricetes"
"T1-R-H2O-P-B_NODE_291_length_2271_cov_6.409545_1","Cryppavirales",419.5,"T1-R-H2O-P-B_NODE_291_length_2271_cov_6.409545","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_29_length_4025_cov_64.609762_2","Levivirales",407.9,"T1-R-H2O-P-B_NODE_29_length_4025_cov_64.609762","Leviviricetes"
"T1-R-H2O-P-B_NODE_302_length_2258_cov_6.023777_1","Ourlivirales",509.8,"T1-R-H2O-P-B_NODE_302_length_2258_cov_6.023777","Miaviricetes"
"T1-R-H2O-P-B_NODE_3075_length_1241_cov_2.691453_1","Ourlivirales",469.6,"T1-R-H2O-P-B_NODE_3075_length_1241_cov_2.691453","Miaviricetes"
"T1-R-H2O-P-B_NODE_30_length_4018_cov_14.115784_3","Levivirales",431.6,"T1-R-H2O-P-B_NODE_30_length_4018_cov_14.115784","Leviviricetes"
"T1-R-H2O-P-B_NODE_3111_length_1236_cov_24.688412_1","Levivirales",291.9,"T1-R-H2O-P-B_NODE_3111_length_1236_cov_24.688412","Leviviricetes"
"T1-R-H2O-P-B_NODE_316_length_2232_cov_5.260528_1","Cryppavirales",143.8,"T1-R-H2O-P-B_NODE_316_length_2232_cov_5.260528","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_319_length_2226_cov_55.509049_1","Levivirales",424.8,"T1-R-H2O-P-B_NODE_319_length_2226_cov_55.509049","Leviviricetes"
"T1-R-H2O-P-B_NODE_31_length_4001_cov_14.333842_1","Levivirales",432.9,"T1-R-H2O-P-B_NODE_31_length_4001_cov_14.333842","Leviviricetes"
"T1-R-H2O-P-B_NODE_32502_length_650_cov_3.578584_1","Ourlivirales",200.9,"T1-R-H2O-P-B_NODE_32502_length_650_cov_3.578584","Miaviricetes"
"T1-R-H2O-P-B_NODE_3373_length_1207_cov_5.660211_1","Durnavirales",79.5,"T1-R-H2O-P-B_NODE_3373_length_1207_cov_5.660211","Duplopiviricetes"
"T1-R-H2O-P-B_NODE_33854_length_643_cov_5.374126_1","Cryppavirales",99.8,"T1-R-H2O-P-B_NODE_33854_length_643_cov_5.374126","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_348_length_2182_cov_3.037897_1","Cryppavirales",500,"T1-R-H2O-P-B_NODE_348_length_2182_cov_3.037897","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_37_length_3925_cov_12.766736_3","Levivirales",424,"T1-R-H2O-P-B_NODE_37_length_3925_cov_12.766736","Leviviricetes"
"T1-R-H2O-P-B_NODE_386_length_2121_cov_3.924390_1","Tymovirales",180.5,"T1-R-H2O-P-B_NODE_386_length_2121_cov_3.924390","Alsuviricetes"
"T1-R-H2O-P-B_NODE_40695_length_612_cov_1.857671_1","Kitrinoviricota",71.9,"T1-R-H2O-P-B_NODE_40695_length_612_cov_1.857671","Kitrinoviricota"
"T1-R-H2O-P-B_NODE_40_length_3868_cov_32.598894_1","Levivirales",427.2,"T1-R-H2O-P-B_NODE_40_length_3868_cov_32.598894","Leviviricetes"
"T1-R-H2O-P-B_NODE_43380_length_602_cov_1.521657_1","Levivirales",139.8,"T1-R-H2O-P-B_NODE_43380_length_602_cov_1.521657","Leviviricetes"
"T1-R-H2O-P-B_NODE_4379_length_1125_cov_2.289374_1","Cryppavirales",253.4,"T1-R-H2O-P-B_NODE_4379_length_1125_cov_2.289374","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_44_length_3779_cov_16.002427_2","Tolivirales",358.7,"T1-R-H2O-P-B_NODE_44_length_3779_cov_16.002427","Tolucaviricetes"
"T1-R-H2O-P-B_NODE_52_length_3467_cov_11.749117_1","Cryppavirales",465.5,"T1-R-H2O-P-B_NODE_52_length_3467_cov_11.749117","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_5950_length_1032_cov_14.826223_1","Levivirales",125.7,"T1-R-H2O-P-B_NODE_5950_length_1032_cov_14.826223","Leviviricetes"
"T1-R-H2O-P-B_NODE_60_length_3309_cov_20.956455_1","Cryppavirales",485.4,"T1-R-H2O-P-B_NODE_60_length_3309_cov_20.956455","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_6254_length_1019_cov_4.002110_1","Levivirales",294.4,"T1-R-H2O-P-B_NODE_6254_length_1019_cov_4.002110","Leviviricetes"
"T1-R-H2O-P-B_NODE_62_length_3305_cov_19.282931_1","Cryppavirales",513,"T1-R-H2O-P-B_NODE_62_length_3305_cov_19.282931","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_641_length_1870_cov_33.127293_2","Kitrinoviricota",144.7,"T1-R-H2O-P-B_NODE_641_length_1870_cov_33.127293","Kitrinoviricota"
"T1-R-H2O-P-B_NODE_6471_length_1010_cov_2.420660_1","Levivirales",369,"T1-R-H2O-P-B_NODE_6471_length_1010_cov_2.420660","Leviviricetes"
"T1-R-H2O-P-B_NODE_653_length_1862_cov_18.628699_2","Durnavirales",172.8,"T1-R-H2O-P-B_NODE_653_length_1862_cov_18.628699","Duplopiviricetes"
"T1-R-H2O-P-B_NODE_65_length_3218_cov_5.430569_3","Levivirales",295.7,"T1-R-H2O-P-B_NODE_65_length_3218_cov_5.430569","Leviviricetes"
"T1-R-H2O-P-B_NODE_713_length_1827_cov_3.877563_1","Levivirales",442.8,"T1-R-H2O-P-B_NODE_713_length_1827_cov_3.877563","Leviviricetes"
"T1-R-H2O-P-B_NODE_719_length_1820_cov_12.404803_1","Durnavirales",260.8,"T1-R-H2O-P-B_NODE_719_length_1820_cov_12.404803","Duplopiviricetes"
"T1-R-H2O-P-B_NODE_8094_length_951_cov_2.082955_1","Chunqiuviricetes",118.6,"T1-R-H2O-P-B_NODE_8094_length_951_cov_2.082955","Chunqiuviricetes"
"T1-R-H2O-P-B_NODE_8154_length_948_cov_5.140251_1","Kitrinoviricota",76.3,"T1-R-H2O-P-B_NODE_8154_length_948_cov_5.140251","Kitrinoviricota"
"T1-R-H2O-P-B_NODE_828_length_1759_cov_4.459123_1","Cryppavirales",361.7,"T1-R-H2O-P-B_NODE_828_length_1759_cov_4.459123","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_842_length_1753_cov_3.131986_1","Tolivirales",360.8,"T1-R-H2O-P-B_NODE_842_length_1753_cov_3.131986","Tolucaviricetes"
"T1-R-H2O-P-B_NODE_8592_length_934_cov_6.791425_1","Tymovirales",181.2,"T1-R-H2O-P-B_NODE_8592_length_934_cov_6.791425","Alsuviricetes"
"T1-R-H2O-P-B_NODE_892_length_1727_cov_8.749396_1","Cryppavirales",87.8,"T1-R-H2O-P-B_NODE_892_length_1727_cov_8.749396","Howeltoviricetes"
"T1-R-H2O-P-B_NODE_92_length_3000_cov_7.479003_1","Tymovirales",354,"T1-R-H2O-P-B_NODE_92_length_3000_cov_7.479003","Alsuviricetes"
"T1-R-H2O-P-B_NODE_9721_length_903_cov_11.057692_1","Kitrinoviricota",77.1,"T1-R-H2O-P-B_NODE_9721_length_903_cov_11.057692","Kitrinoviricota"
"T1-R-H2O-P-B_NODE_9929_length_898_cov_2.432890_1","Levivirales",173,"T1-R-H2O-P-B_NODE_9929_length_898_cov_2.432890","Leviviricetes"
"T1-R-H2O-P-C_NODE_10104_length_865_cov_3.712846_1","Tolivirales",230.3,"T1-R-H2O-P-C_NODE_10104_length_865_cov_3.712846","Tolucaviricetes"
"T1-R-H2O-P-C_NODE_105_length_2931_cov_28.530769_1","Nodamuvirales",122.2,"T1-R-H2O-P-C_NODE_105_length_2931_cov_28.530769","Magsaviricetes"
"T1-R-H2O-P-C_NODE_10_length_4430_cov_63.509291_1","Cryppavirales",468.5,"T1-R-H2O-P-C_NODE_10_length_4430_cov_63.509291","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_111_length_2874_cov_11.529433_1","Cryppavirales",491.6,"T1-R-H2O-P-C_NODE_111_length_2874_cov_11.529433","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_11856_length_829_cov_3.001319_1","Levivirales",285.6,"T1-R-H2O-P-C_NODE_11856_length_829_cov_3.001319","Leviviricetes"
"T1-R-H2O-P-C_NODE_11_length_4366_cov_16.664028_1","Cryppavirales",386.8,"T1-R-H2O-P-C_NODE_11_length_4366_cov_16.664028","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_1259_length_1517_cov_6.372752_1","Levivirales",207.3,"T1-R-H2O-P-C_NODE_1259_length_1517_cov_6.372752","Leviviricetes"
"T1-R-H2O-P-C_NODE_1338_length_1492_cov_5.213934_1","Cryppavirales",92.4,"T1-R-H2O-P-C_NODE_1338_length_1492_cov_5.213934","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_134_length_2781_cov_5.034317_1","Cryppavirales",475.3,"T1-R-H2O-P-C_NODE_134_length_2781_cov_5.034317","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_14367_length_787_cov_3.452514_1","Tymovirales",81.6,"T1-R-H2O-P-C_NODE_14367_length_787_cov_3.452514","Alsuviricetes"
"T1-R-H2O-P-C_NODE_144_length_2708_cov_28.847933_1","Cryppavirales",486.6,"T1-R-H2O-P-C_NODE_144_length_2708_cov_28.847933","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_1491_length_1451_cov_3.993478_2","Levivirales",281.6,"T1-R-H2O-P-C_NODE_1491_length_1451_cov_3.993478","Leviviricetes"
"T1-R-H2O-P-C_NODE_14_length_4117_cov_119.607019_3","Levivirales",415.3,"T1-R-H2O-P-C_NODE_14_length_4117_cov_119.607019","Leviviricetes"
"T1-R-H2O-P-C_NODE_15496_length_772_cov_1.805991_1","Levivirales",214.6,"T1-R-H2O-P-C_NODE_15496_length_772_cov_1.805991","Leviviricetes"
"T1-R-H2O-P-C_NODE_16796_length_755_cov_3.875731_1","Ourlivirales",232.2,"T1-R-H2O-P-C_NODE_16796_length_755_cov_3.875731","Miaviricetes"
"T1-R-H2O-P-C_NODE_16_length_4081_cov_170.575561_1","Levivirales",419.7,"T1-R-H2O-P-C_NODE_16_length_4081_cov_170.575561","Leviviricetes"
"T1-R-H2O-P-C_NODE_19_length_4044_cov_16.666499_1","Cryppavirales",467.7,"T1-R-H2O-P-C_NODE_19_length_4044_cov_16.666499","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_20572_length_715_cov_1.358696_1","Levivirales",123.1,"T1-R-H2O-P-C_NODE_20572_length_715_cov_1.358696","Leviviricetes"
"T1-R-H2O-P-C_NODE_2097_length_1319_cov_5.379006_1","Ourlivirales",181.7,"T1-R-H2O-P-C_NODE_2097_length_1319_cov_5.379006","Miaviricetes"
"T1-R-H2O-P-C_NODE_20_length_4024_cov_55.449785_1","Levivirales",407.9,"T1-R-H2O-P-C_NODE_20_length_4024_cov_55.449785","Leviviricetes"
"T1-R-H2O-P-C_NODE_21667_length_705_cov_1.686120_1","Levivirales",113.6,"T1-R-H2O-P-C_NODE_21667_length_705_cov_1.686120","Leviviricetes"
"T1-R-H2O-P-C_NODE_21_length_4023_cov_31.834514_3","Levivirales",431.6,"T1-R-H2O-P-C_NODE_21_length_4023_cov_31.834514","Leviviricetes"
"T1-R-H2O-P-C_NODE_2262_length_1294_cov_3.062142_1","Cryppavirales",440.7,"T1-R-H2O-P-C_NODE_2262_length_1294_cov_3.062142","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_22_length_3985_cov_20.025549_3","Levivirales",427.2,"T1-R-H2O-P-C_NODE_22_length_3985_cov_20.025549","Leviviricetes"
"T1-R-H2O-P-C_NODE_2354_length_1280_cov_3.674111_1","Levivirales",306.7,"T1-R-H2O-P-C_NODE_2354_length_1280_cov_3.674111","Leviviricetes"
"T1-R-H2O-P-C_NODE_23_length_3960_cov_3.489586_3","Levivirales",454.2,"T1-R-H2O-P-C_NODE_23_length_3960_cov_3.489586","Leviviricetes"
"T1-R-H2O-P-C_NODE_267_length_2277_cov_22.109248_1","Ourlivirales",519.4,"T1-R-H2O-P-C_NODE_267_length_2277_cov_22.109248","Miaviricetes"
"T1-R-H2O-P-C_NODE_27519_length_661_cov_4.427119_1","Tolivirales",74.9,"T1-R-H2O-P-C_NODE_27519_length_661_cov_4.427119","Tolucaviricetes"
"T1-R-H2O-P-C_NODE_27_length_3822_cov_19.101573_1","Cryppavirales",357.8,"T1-R-H2O-P-C_NODE_27_length_3822_cov_19.101573","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_28644_length_654_cov_4.490566_1","Cryppavirales",285.8,"T1-R-H2O-P-C_NODE_28644_length_654_cov_4.490566","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_2_length_8143_cov_19.674554_1","Tymovirales",354.8,"T1-R-H2O-P-C_NODE_2_length_8143_cov_19.674554","Alsuviricetes"
"T1-R-H2O-P-C_NODE_30_length_3744_cov_13.258916_1","Cryppavirales",445.9,"T1-R-H2O-P-C_NODE_30_length_3744_cov_13.258916","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_3189_length_1175_cov_5.025362_1","Ourlivirales",84.4,"T1-R-H2O-P-C_NODE_3189_length_1175_cov_5.025362","Miaviricetes"
"T1-R-H2O-P-C_NODE_33396_length_628_cov_3.533214_1","Tolivirales",128.3,"T1-R-H2O-P-C_NODE_33396_length_628_cov_3.533214","Tolucaviricetes"
"T1-R-H2O-P-C_NODE_3641_length_1136_cov_2.749296_1","Cryppavirales",347.2,"T1-R-H2O-P-C_NODE_3641_length_1136_cov_2.749296","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_38052_length_607_cov_2.576493_1","Levivirales",93,"T1-R-H2O-P-C_NODE_38052_length_607_cov_2.576493","Leviviricetes"
"T1-R-H2O-P-C_NODE_40_length_3517_cov_14.360708_1","Cryppavirales",464,"T1-R-H2O-P-C_NODE_40_length_3517_cov_14.360708","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_41_length_3517_cov_10.144515_2","Levivirales",465.2,"T1-R-H2O-P-C_NODE_41_length_3517_cov_10.144515","Leviviricetes"
"T1-R-H2O-P-C_NODE_4217_length_1095_cov_10.736328_1","Ourlivirales",373.1,"T1-R-H2O-P-C_NODE_4217_length_1095_cov_10.736328","Miaviricetes"
"T1-R-H2O-P-C_NODE_4293_length_1089_cov_13.577603_1","Levivirales",143.7,"T1-R-H2O-P-C_NODE_4293_length_1089_cov_13.577603","Leviviricetes"
"T1-R-H2O-P-C_NODE_4589_length_1071_cov_3.970000_1","Durnavirales",181,"T1-R-H2O-P-C_NODE_4589_length_1071_cov_3.970000","Duplopiviricetes"
"T1-R-H2O-P-C_NODE_4759_length_1059_cov_10.912955_1","Cryppavirales",210.9,"T1-R-H2O-P-C_NODE_4759_length_1059_cov_10.912955","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_498_length_1943_cov_1.235043_3","Levivirales",294.2,"T1-R-H2O-P-C_NODE_498_length_1943_cov_1.235043","Leviviricetes"
"T1-R-H2O-P-C_NODE_5265_length_1032_cov_3.415193_1","Levivirales",275.7,"T1-R-H2O-P-C_NODE_5265_length_1032_cov_3.415193","Leviviricetes"
"T1-R-H2O-P-C_NODE_5314_length_1029_cov_3.341336_1","Levivirales",226.8,"T1-R-H2O-P-C_NODE_5314_length_1029_cov_3.341336","Leviviricetes"
"T1-R-H2O-P-C_NODE_5496_length_1020_cov_4.207587_1","Levivirales",256.4,"T1-R-H2O-P-C_NODE_5496_length_1020_cov_4.207587","Leviviricetes"
"T1-R-H2O-P-C_NODE_57_length_3361_cov_28.402736_1","Cryppavirales",485.1,"T1-R-H2O-P-C_NODE_57_length_3361_cov_28.402736","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_586_length_1871_cov_9.163333_1","Durnavirales",260.9,"T1-R-H2O-P-C_NODE_586_length_1871_cov_9.163333","Duplopiviricetes"
"T1-R-H2O-P-C_NODE_5871_length_1002_cov_16.408163_1","Levivirales",281.1,"T1-R-H2O-P-C_NODE_5871_length_1002_cov_16.408163","Leviviricetes"
"T1-R-H2O-P-C_NODE_602_length_1856_cov_16.657143_1","Durnavirales",276.3,"T1-R-H2O-P-C_NODE_602_length_1856_cov_16.657143","Duplopiviricetes"
"T1-R-H2O-P-C_NODE_62_length_3301_cov_19.503406_1","Cryppavirales",505.4,"T1-R-H2O-P-C_NODE_62_length_3301_cov_19.503406","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_641_length_1828_cov_5.485487_1","Cryppavirales",186.8,"T1-R-H2O-P-C_NODE_641_length_1828_cov_5.485487","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_684_length_1796_cov_3.363478_2","Cryppavirales",288.5,"T1-R-H2O-P-C_NODE_684_length_1796_cov_3.363478","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_692_length_1789_cov_2.877765_2","Levivirales",225.5,"T1-R-H2O-P-C_NODE_692_length_1789_cov_2.877765","Leviviricetes"
"T1-R-H2O-P-C_NODE_694_length_1787_cov_9.124126_1","Kitrinoviricota",148.7,"T1-R-H2O-P-C_NODE_694_length_1787_cov_9.124126","Kitrinoviricota"
"T1-R-H2O-P-C_NODE_723_length_1762_cov_15.915435_1","Kitrinoviricota",144.8,"T1-R-H2O-P-C_NODE_723_length_1762_cov_15.915435","Kitrinoviricota"
"T1-R-H2O-P-C_NODE_728_length_1759_cov_19.868483_1","Kitrinoviricota",152.2,"T1-R-H2O-P-C_NODE_728_length_1759_cov_19.868483","Kitrinoviricota"
"T1-R-H2O-P-C_NODE_7382_length_941_cov_1.643678_1","Levivirales",216.4,"T1-R-H2O-P-C_NODE_7382_length_941_cov_1.643678","Leviviricetes"
"T1-R-H2O-P-C_NODE_7425_length_939_cov_3.853687_1","Wolframvirales",114,"T1-R-H2O-P-C_NODE_7425_length_939_cov_3.853687","Amabiliviricetes"
"T1-R-H2O-P-C_NODE_7484_length_937_cov_3.189376_1","Cryppavirales",87.7,"T1-R-H2O-P-C_NODE_7484_length_937_cov_3.189376","Howeltoviricetes"
"T1-R-H2O-P-C_NODE_7638_length_932_cov_10.049942_1","Durnavirales",78.9,"T1-R-H2O-P-C_NODE_7638_length_932_cov_10.049942","Duplopiviricetes"
